language,id,text,file,node,lineNumber,lock,comment
es,line:0ba4df6,Una taza.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,TasaBegin,4,eafddbd5,
es,line:0cda3e7,Un mixtape.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MixtapeBegin,12,03c9be83,
es,line:011b80f,Tu telefono.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneBegin,20,b9826c75,
es,line:0605928,Un polerón.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PoleronBegin,28,ca401c76,
es,line:0d29028,Manchada con un color que tu no usas.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,35,b1f4493d,
es,line:0aca42d,¿Cuándo fue la última vez que estuvo aquí?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,36,694e2c21,
es,line:01abb9f,¿Cuándo va a volver a venir?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,37,7028b656,
es,line:052c36d,Ni siquiera sé.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,38,c42fa1ae,
es,line:076fe6e,"Si la llamara, vendría?",D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,39,120bb21d,
es,line:0183034,Si ella me llamara a mi…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,40,27fd7777,Line metadata: lastline
es,line:09905af,Soy patética.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,41,c44ef3de,
es,line:09e9870,Odio lavar loza.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Tasa,43,2224ad6d,
es,line:0e8dea0,Llena de “nuestras canciones”.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,51,48fa6c7e,
es,line:0093b48,Un regalo de nuestra primera cita…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,52,e5b66000,
es,line:04a2ddc,Ella llegó tarde.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,53,eb9d2fba,
es,line:0e34ba1,Entra por la puerta y espera que no diga nada.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,54,9375383b,
es,line:049f73b,Un baile que ambas nos sabemos de memoria…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,55,02475596,
es,line:09cf6a6,Lo odio.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,56,f8fd3f7a,Line metadata: lastline
es,line:0ab7d7f,Son migajas.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,57,6a5971ac,
es,line:0281a80,Ella piensa en mí.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Mixtape,59,9a1dacb4,
es,line:00a00fd,¿Qué estás esperando?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Phone,67,57635484,
es,line:03925ce,Deberíamos hablar?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Phone,68,cbe08926,
es,line:0430fed,Sobre qué… exactamente—,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Phone,70,4efb0f86,
es,line:0bc5fc1,Pio yo se que no querí venir pa' aca y weon.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneFriend,81,36dcb554,
es,line:0329ca9,Que paja ser yo el que te diga esto pero weon.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneFriend,83,5bd5eb3b,
es,line:0b07a3c,"Estoy viendo ACÁ, de frente... a la Prava comiéndose a otra weona.",D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneFriend,85,353fabd2,
es,line:0fad1de,Weon se estan comiendo MUY FUERTE weon...,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneFriend,87,db24985a,
es,line:066ab8b,Yo te dije que eran malas. Weon yo te dije que esta mina era mala pa' ti weon.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneFriend,89,3017c634,
es,line:052d6e3,YO TE DIJE… Espérate voy a dejar la caga y vuelvo...,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneFriend,91,e38dfdc4,
es,line:06f8b31,...,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneEnd,100,ab5df625,Line metadata: lastline
es,line:0310484,Nosotras no somos nada.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneEnd,101,da44eae7,
es,line:02b92c6,La odio.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,PhoneEnd,103,0e56cfc3,
es,line:03427ea,Con agujeros para alas que no tienes.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Poleron,111,03894c42,
es,line:0ed273c,Cosas y cosas de ella…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Poleron,112,6176f277,
